treatment,outcome,ATE,SE,t_stat,p_value,CI_lower,CI_upper
cdr3_len,rf2_passed,-0.08240641910607453,0.0,0.0,0.0,0.0,0.0
cdr3_len,rf2_interaction_pae,0.9107263047211984,0.007417249962094843,122.78490132803658,0.0,0.8961884947954926,0.9252641146469043
positive_ratio,rf2_interaction_pae,-1.0359229937732208,0.5336625980212677,-1.9411571986012348,0.05226576110693726,-2.0819016858949055,0.01005569834846387
aromatic_ratio,rf2_interaction_pae,-1.019495955393327,0.3298830224725593,-3.0904771871918078,0.0020035454744657955,-1.6660666794395431,-0.37292523134711075
glycine_ratio,rf2_interaction_pae,-0.9367942850193328,0.36358120557602386,-2.5765751107380925,0.009991893797353324,-1.6494134479483396,-0.22417512209032608
serine_ratio,rf2_interaction_pae,9.6853014390897,0.3006621732411275,32.213235654763274,0.0,9.09600357953709,10.274599298642311
proline_count,rf2_passed,-0.04491753827138988,0.0,0.0,0.0,0.0,0.0
proline_count,rf2_interaction_pae,1.3457940121275156,0.0656350097819725,20.50420982030775,0.0,1.2171493929548496,1.4744386313001816
first_is_aromatic,rf2_interaction_pae,-6.538522237234976,0.13896934338029765,-47.05010528359432,0.0,-6.810902150260359,-6.266142324209593
last_is_YH,rf2_interaction_pae,2.8831065700337324,0.07657735481322403,37.649597287158485,0.0,2.7330149545998133,3.0331981854676515
