cdr3_len,n_samples,treatment,outcome,ATE,SE,t_stat,p_value
5,1200,positive_ratio,rf2_interaction_pae,4.9514,1.4907,3.32,0.0009223931802742058
5,1200,aromatic_ratio,rf2_interaction_pae,10.6994,0.6634,16.13,0.0
5,1200,glycine_ratio,rf2_interaction_pae,1.5096,0.9793,1.54,0.12345844055932687
5,1200,serine_ratio,rf2_interaction_pae,-4.4557,1.8036,-2.47,0.013631489809668995
5,1200,proline_count,rf2_interaction_pae,-3.3368,0.3188,-10.47,0.0
5,1200,first_is_aromatic,rf2_interaction_pae,-0.1083,0.8452,-0.13,0.8980154597851326
5,1200,last_is_YH,rf2_interaction_pae,2.0704,0.2179,9.5,0.0
6,1132,positive_ratio,rf2_interaction_pae,-5.1857,1.6538,-3.14,0.0017592807110056174
6,1132,aromatic_ratio,rf2_interaction_pae,-1.9107,0.838,-2.28,0.022796141273346393
6,1132,glycine_ratio,rf2_interaction_pae,8.0271,0.8052,9.97,0.0
6,1132,serine_ratio,rf2_interaction_pae,0.825,1.1015,0.75,0.4540394994760477
6,1132,proline_count,rf2_interaction_pae,-0.5972,0.2868,-2.08,0.037512193585417686
6,1132,first_is_aromatic,rf2_interaction_pae,-3.6655,0.3297,-11.12,0.0
6,1132,last_is_YH,rf2_interaction_pae,-0.3054,0.2356,-1.3,0.19512888971252096
7,1188,positive_ratio,rf2_interaction_pae,5.6696,1.2076,4.69,2.977923036162622e-06
7,1188,aromatic_ratio,rf2_interaction_pae,-0.4769,0.7102,-0.67,0.5020147396506072
7,1188,glycine_ratio,rf2_interaction_pae,3.807,1.068,3.56,0.0003791838168645256
7,1188,serine_ratio,rf2_interaction_pae,0.3286,1.1959,0.27,0.7835141640436372
7,1188,proline_count,rf2_interaction_pae,-0.2481,0.2542,-0.98,0.329145772669158
7,1188,first_is_aromatic,rf2_interaction_pae,-1.8253,0.2117,-8.62,0.0
7,1188,last_is_YH,rf2_interaction_pae,0.8185,0.2226,3.68,0.0002461497295893622
8,1192,positive_ratio,rf2_interaction_pae,0.2528,0.9362,0.27,0.7871960199585841
8,1192,aromatic_ratio,rf2_interaction_pae,1.9563,0.6316,3.1,0.0019969665369792278
8,1192,glycine_ratio,rf2_interaction_pae,3.6422,0.6479,5.62,2.3527891190866512e-08
8,1192,serine_ratio,rf2_interaction_pae,-0.5558,1.1433,-0.49,0.6269926704470563
8,1192,proline_count,rf2_interaction_pae,-0.1537,0.1433,-1.07,0.28388844061772667
8,1192,first_is_aromatic,rf2_interaction_pae,0.1173,1.5868,0.07,0.9410633231680627
8,1192,last_is_YH,rf2_interaction_pae,1.0509,0.1565,6.71,2.9112712240930705e-11
9,1108,positive_ratio,rf2_interaction_pae,6.3727,1.349,4.72,2.6085319382307404e-06
9,1108,aromatic_ratio,rf2_interaction_pae,10.9335,0.937,11.67,0.0
9,1108,glycine_ratio,rf2_interaction_pae,2.8588,0.8234,3.47,0.0005367274847285497
9,1108,serine_ratio,rf2_interaction_pae,-2.8959,0.8078,-3.59,0.0003517739485734417
9,1108,proline_count,rf2_interaction_pae,0.4976,0.1792,2.78,0.005566335224170382
9,1108,first_is_aromatic,rf2_interaction_pae,-6.0024,1.3777,-4.36,1.4415537528567057e-05
9,1108,last_is_YH,rf2_interaction_pae,0.7352,0.1828,4.02,6.155413844255442e-05
10,1176,positive_ratio,rf2_interaction_pae,-0.4555,1.2193,-0.37,0.7087620013661087
10,1176,aromatic_ratio,rf2_interaction_pae,21.331,1.0189,20.94,0.0
10,1176,glycine_ratio,rf2_interaction_pae,7.6546,1.0063,7.61,5.728750807065808e-14
10,1176,serine_ratio,rf2_interaction_pae,-7.2244,0.8258,-8.75,0.0
10,1176,proline_count,rf2_interaction_pae,0.8336,0.1447,5.76,1.0705579756020711e-08
10,1176,first_is_aromatic,rf2_interaction_pae,2.9293,4.1085,0.71,0.4759975421797664
10,1176,last_is_YH,rf2_interaction_pae,1.3854,0.1995,6.94,6.326494883523992e-12
11,1300,positive_ratio,rf2_interaction_pae,-9.9205,1.1351,-8.74,0.0
11,1300,aromatic_ratio,rf2_interaction_pae,18.4131,0.9319,19.76,0.0
11,1300,glycine_ratio,rf2_interaction_pae,-16.2503,0.8255,-19.69,0.0
11,1300,serine_ratio,rf2_interaction_pae,7.3264,0.6602,11.1,0.0
11,1300,proline_count,rf2_interaction_pae,-0.7404,0.1315,-5.63,2.175187652220245e-08
11,1300,first_is_aromatic,rf2_interaction_pae,0.0,0.0,,
11,1300,last_is_YH,rf2_interaction_pae,-0.604,0.1677,-3.6,0.00032667024416621615
12,1164,positive_ratio,rf2_interaction_pae,3.4537,1.4272,2.42,0.015680542806675968
12,1164,aromatic_ratio,rf2_interaction_pae,14.2986,0.9457,15.12,0.0
12,1164,glycine_ratio,rf2_interaction_pae,-8.2322,0.9393,-8.76,0.0
12,1164,serine_ratio,rf2_interaction_pae,3.9732,0.7097,5.6,2.693737766179538e-08
12,1164,proline_count,rf2_interaction_pae,0.131,0.121,1.08,0.2791694662693174
12,1164,first_is_aromatic,rf2_interaction_pae,-0.0,0.0,,
12,1164,last_is_YH,rf2_interaction_pae,0.0034,0.1823,0.02,0.985053284513759
13,1112,positive_ratio,rf2_interaction_pae,-8.2597,1.824,-4.53,6.590004693718399e-06
13,1112,aromatic_ratio,rf2_interaction_pae,-6.3001,1.0036,-6.28,4.931008934505599e-10
13,1112,glycine_ratio,rf2_interaction_pae,-8.4255,1.172,-7.19,1.199040866595169e-12
13,1112,serine_ratio,rf2_interaction_pae,6.4967,0.4322,15.03,0.0
13,1112,proline_count,rf2_interaction_pae,-0.5201,0.1183,-4.4,1.1983083405331385e-05
13,1112,first_is_aromatic,rf2_interaction_pae,0.0,0.0,,
13,1112,last_is_YH,rf2_interaction_pae,1.5502,0.1701,9.11,0.0
